PID,query,topic,"1.Is the query have a clear, objective answer?                   (Yes—>jump to question 2, No/not sure—>Non-specific)",2.Does the query require exhaustively listing all valid propositions?                              (Yes—>jump to 4. No/not sure   —>jump to 3. ),"3.Is it a single/unique answer? (Yes—> Specific, No/not sure    —>jump to 5.)","4.Is the answer set bounded?(Yes —> Specific, No/not sure  —> Non-specific)_x","5.Does the answer suffice to satisfy without requiring exhaustivity?                            (Yes—> Specific, No/not sure   —>Non-specific.)",specificity_1,"1.Does the query have a clear, objective answer?(Yesâ€”>jump to question 2, No/not sureâ€”>Non-specific)",2.Does the query require exhaustively listing all valid propositions?(Yesâ€”>jump to 4. No/not surâ€”>jump to 3. ),"3.Is it a single/unique answer? (Yesâ€”> Specific, No/not sureâ€”>jump to 5.)","4.Is the answer set bounded?(Yesâ€”> Specific, No/not sureâ€”>Non-specific)","5.Does the answer suffice to be useful and not misleading without requiring exhaustivity?(Yesâ€”> Specific, No/not sureâ€”>Non-specific.)",specificity_2,"1.Is the query have a clear, objective answer?(Yes—>jump to question 2, No/not sure—>Non-specific)",2.Does the query require exhaustively listing all valid propositions?(Yes—>jump to 4. No/not sure—>jump to 3. ),"3.Is it a single/unique answer? (Yes—> Specific, No/not sure—>jump to 5.)","4.Is the answer set bounded?(Yes —> Specific, No/not sure  —> Non-specific)_y","5.Does the answer suffice to be useful without requiring exhaustivity?(Yes—> Specific, No/not sure—>Non-specific.)",specificity_3,Specificity Level,full_agreement
PA11,Is weather the main contributing factor to losing a ship at sea?,448,Yes,No,No,,Yes,2,y,n,y,,,2,Y,N,Y,,,2,2,True
PA27,Current status of The Three Gorges Dam,416,Yes,Yes,,,,2,y,y,y,,,2,Y,N,Y,,,2,2,True
PA31,satellite ocean remote sensing applications,355,Yes,No,No,,Unsure,1,n,,,,,1,Y,N,N,,N,1,1,True
PA31,registering freight ship rules regulations,743,Yes,No,No,,Unsure,1,n,,,,,1,Y,N,N,,N,1,1,True
PA31,bad weather leading to ship loss at sea,448,yes ,No,No,,No,1,n,,,,,1,N,,,,,1,1,True
PA30,where can i buy marine algae in australia,314,yes,No,No,,Yes,2,y,n,n,y,,2,Yes,No,No,,Yes,2,2,True
PA30,what happens if i forgot my myki card,711,yes,No,No,,Unsure,1,n,,,,,1,Y,N,N,,N,1,1,True
PA30,what can we make with recycled tyres,419,Yes,No,No,,Yes,2,y,y,n,,y,2,Y,N,N,,Y,2,2,True
PA30,what are the common diseases that reduces white blood cell count,725,Yes,No,No,,Yes,2,y,y,,y,,2,Y,N,N,,Y,2,2,True
PA30,event dates for greek stoic plays,433,Yes,No,No,,Unsure,1,n,,,,,1,N,,,,,1,1,True
PA3,What are the manufacturing process of slate stone? What is its decorative use?,708,yes,No,No ,,Yes,2,y,y,n,,y,2,Y,N,N,,Y,2,2,True
